,artist_and_title,wks,t10,pk,(x?),pkstreams,total,artist,title,country,deezer_track_id,deezer_release_date,deezer_genres
52,XXXTENTACION - Fuck Love,225,1.0,8,,7224825,545975047,XXXTENTACION,Fuck Love,us,398055742,2017-08-25,['Rap/Hip Hop']
53,Brenda Lee - Rockin' Around The Christmas Tree,75,35.0,1,(x17),26164038,545736985,Brenda Lee,Rockin' Around The Christmas Tree,us,593706102,2018-11-30,[]
54,Post Malone - Congratulations,169,18.0,5,,8381773,543226174,Post Malone,Congratulations,us,137726987,2016-12-09,['Rap/Hip Hop']
55,Drake - God's Plan,88,19.0,1,(x10),28708450,539934153,Drake,God's Plan,us,533609232,2018-06-29,['Rap/Hip Hop']
56,Hozier - Too Sweet,93,13.0,1,(x2),22622634,539208582,Hozier,Too Sweet,us,2704610682,2024-03-22,['Folk']
57,The Weeknd - Die For You,182,5.0,8,,6601503,537666159,The Weeknd,Die For You,us,136889432,2016-11-25,['R&B']
58,Kendrick Lamar - LOVE. FEAT. ZACARI.,198,4.0,5,,11927530,532349108,Kendrick Lamar,LOVE. FEAT. ZACARI.,us,,,
59,SZA - Good Days,184,12.0,1,(x1),8943952,530693984,SZA,Good Days,us,1189202982,2025-01-10,"['Pop', 'R&B']"
60,d4vd - Romantic Homicide,150,8.0,3,(x2),7088189,519900524,d4vd,Romantic Homicide,us,1879640617,2022-08-23,['Alternatif']
61,The Weeknd - Starboy,172,20.0,1,(x5),12370904,519470357,The Weeknd,Starboy,us,136889400,2016-11-25,['R&B']
62,Roddy Ricch - The Box,91,29.0,1,(x13),24966901,508287540,Roddy Ricch,The Box,us,878421552,2020-02-14,['Rap/Hip Hop']
63,The Weeknd - The Hills,220,29.0,2,(x9),7662493,488472567,The Weeknd,The Hills,us,106506512,2015-08-28,['R&B']
64,Lil Baby - Yes Indeed,176,6.0,2,(x1),11493709,487612671,Lil Baby,Yes Indeed,us,500099532,2018-05-18,['Rap/Hip Hop']
65,TV Girl - Lovers Rock,166,,38,,4273627,487134532,TV Girl,Lovers Rock,us,1751426027,2014-06-05,['Pop']
66,Kendrick Lamar - luther,64,29.0,1,(x8),22979400,486618944,Kendrick Lamar,luther,us,3106586641,2024-11-22,['Rap/Hip Hop']
67,Kanye West - Heartless,182,,37,,4481814,484021606,Kanye West,Heartless,us,130412300,2016-08-19,['Rap/Hip Hop']
68,Joji - SLOW DANCING IN THE DARK,229,,29,,4434820,478530171,Joji,SLOW DANCING IN THE DARK,us,2613692082,2018-10-26,['R&B']
69,Luke Combs - Beautiful Crazy,226,,61,,3469965,469890385,Luke Combs,Beautiful Crazy,us,504533172,2018-06-01,['Pop']
70,Post Malone - Better Now,124,10.0,1,(x2),21229827,469400502,Post Malone,Better Now,us,491446972,2018-04-27,['Rap/Hip Hop']
71,The Kid LAROI - Stay,94,37.0,1,(x6),15077797,468348892,The Kid LAROI,Stay,us,1425844092,2021-07-09,"['Alternatif', 'Indie Pop', 'Pop', 'Indie Pop/Folk']"
72,Mac Miller - The Spins,201,,60,,3492012,467885741,Mac Miller,The Spins,us,3596335362,2010-08-13,['Rap/Hip Hop']
73,Bobby Helms - Jingle Bell Rock,74,29.0,2,(x10),22837979,466200878,Bobby Helms,Jingle Bell Rock,us,7810995,2010-11-29,[]
74,Baby Keem - family ties,154,6.0,8,,7983788,465816685,Baby Keem,family ties,us,1476644212,2021-08-27,['Rap/Hip Hop']
75,Morgan Wallen - Cowgirls,134,,19,,6656276,461844764,Morgan Wallen,Cowgirls,us,3398329841,2023-03-03,[]
76,Tommy Richman - MILLION DOLLAR BABY,57,15.0,2,(x5),38088066,461748674,Tommy Richman,MILLION DOLLAR BABY,us,2827724612,2024-06-04,['Rap/Hip Hop']
77,Chappell Roan - Pink Pony Club,88,6.0,8,,10586731,461662653,Chappell Roan,Pink Pony Club,us,2454854845,2023-09-22,['Pop']
78,Jimin - Who,78,19.0,2,(x1),13959891,459412479,Jimin,Who,us,2893833601,2024-07-19,['Asya müziği']
79,Sabrina Carpenter - Please Please Please,66,17.0,1,(x4),31778766,459317638,Sabrina Carpenter,Please Please Please,us,2831602002,2024-06-07,['Pop']
80,Olivia Rodrigo - good 4 u,78,28.0,1,(x8),31739490,454459076,Olivia Rodrigo,good 4 u,us,1378342622,2021-05-21,['Pop']
81,Zach Bryan - Heading South,140,,30,,5565839,451663854,Zach Bryan,Heading South,us,1163301932,2019-09-30,['Singer & Songwriter']
82,Juice WRLD - Robbery,156,6.0,3,(x1),10013503,448909388,Juice WRLD,Robbery,us,1634179012,2022-01-26,['Rap/Hip Hop']
83,XXXTENTACION - Moonlight,135,8.0,3,(x2),11929608,447394299,XXXTENTACION,Moonlight,us,472992592,2018-03-16,['Pop']
84,Billie Eilish - lovely,178,,24,,5083158,445894312,Billie Eilish,lovely,us,486928932,2018-04-19,['Alternatif']
85,Gigi Perez - Sailor Song,81,8.0,3,(x1),10334897,443746781,Gigi Perez,Sailor Song,us,3012786851,2024-09-24,['Alternatif']
86,Hotel Ugly - Shut up My Moms Calling,141,,29,,4083363,440405985,Hotel Ugly,Shut up My Moms Calling,us,1910184907,2022-09-14,['R&B']
87,Morgan Wallen - Thinkin’ Bout Me,112,1.0,9,,8059932,437297013,Morgan Wallen,Thinkin’ Bout Me,us,3398329761,2023-03-03,[]
88,Drake - Passionfruit,167,6.0,1,(x2),13291694,436441918,Drake,Passionfruit,us,144572210,2017-03-18,['Rap/Hip Hop']
89,Miguel - Sure Thing,136,2.0,10,,6010666,433561627,Miguel,Sure Thing,us,7675649,2010-11-26,['R&B']
90,Tory Lanez - The Color Violet,154,,26,,4216914,428082944,Tory Lanez,The Color Violet,us,1579438382,2021-12-10,"['R&B', 'Soul & Funk']"
91,Hozier - Take Me To Church,189,21.0,1,(x8),4371969,427268898,Hozier,Take Me To Church,us,84791735,2014-10-06,['Alternatif']
